name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at,search_category,search_area,pincode,google_map_link,sheet_category
"Rakshitha physio care and rehabilitation center","Near, school, opposite Sri Sai Baba Temple Road, Aruna Colony, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500020","","","","","Physiotherapy Center","","Physiotherapy","Seethaphalmandi","500020","https://www.google.com/maps/search/?api=1&query=Rakshitha+physio+care+and+rehabilitation+center+Near%2C+school%2C+opposite+Sri+Sai+Baba+Temple+Road%2C+Aruna+Colony%2C+Walker+Town%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500020","Physiotherapy"
"Lyny Physiotherapy And Integrated Pain Management Clinic","Street Number 7, near st.anns school, beside jeevan diagnostics, Krishna Giri Enclave, Tarnaka, Secunderabad, Hyderabad, Telangana 500017","","086397 90653","55","5","Physiotherapy Center"," · Opens 10am","Physiotherapy","Seethaphalmandi","500017","https://www.google.com/maps/search/?api=1&query=Lyny+Physiotherapy+And+Integrated+Pain+Management+Clinic+Street+Number+7%2C+near+st.anns+school%2C+beside+jeevan+diagnostics%2C+Krishna+Giri+Enclave%2C+Tarnaka%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500017","Physiotherapy"
"Vijaypuri welfare association Physiotherapy Center","Mee Seva Building, Vijayapuri welfare association ( Community Hall 1, Vijayapuri Colony, Tarnaka, Telangana 500017","","","","","Physiotherapy Center"," · Opens 10:30am","Physiotherapy","Seethaphalmandi","500017","https://www.google.com/maps/search/?api=1&query=Vijaypuri+welfare+association+Physiotherapy+Center+Mee+Seva+Building%2C+Vijayapuri+welfare+association+%28+Community+Hall+1%2C+Vijayapuri+Colony%2C+Tarnaka%2C+Telangana+500017","Physiotherapy"
"Sai akshara advanced ortho physio clinic","CGG8+42V, Sri Rayapatnam, Indira Nagar, Padmarao Nagar, Hyderabad, Secunderabad, Telangana 500061","","","","","Orthopedic clinic"," · Opens 8:10am","Physiotherapy","Seethaphalmandi","500061","https://www.google.com/maps/search/?api=1&query=Sai+akshara+advanced+ortho+physio+clinic+CGG8%2B42V%2C+Sri+Rayapatnam%2C+Indira+Nagar%2C+Padmarao+Nagar%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500061","Physiotherapy"
"Get medical systems","Sri Rayapatnam, Seethaphalmandi, Padmarao Nagar, Secunderabad, Telangana 500061","gvsurgical.com","077025 12557","4","4.5","Physiotherapy equipment supplier"," · Opens 10am","Physiotherapy","Seethaphalmandi","500061","https://www.google.com/maps/search/?api=1&query=Get+medical+systems+Sri+Rayapatnam%2C+Seethaphalmandi%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500061","Physiotherapy"
"Vyasa Physiotherapy clinic","Lane no:11, HT Rd, beside apollo pharmacy, Panchsheel Enclave, Caton Residential Twp, Bolarum, Secunderabad, Hyderabad, Telangana 500067","","080194 37979","16","4.9","Physiotherapy Center"," · Opens 10:30am","Physiotherapy","Macha Bolarum","500067","https://www.google.com/maps/search/?api=1&query=Vyasa+Physiotherapy+clinic+Lane+no%3A11%2C+HT+Rd%2C+beside+apollo+pharmacy%2C+Panchsheel+Enclave%2C+Caton+Residential+Twp%2C+Bolarum%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500067","Physiotherapy"
"Sneha Tiwari Sportsphysio — Momentum chiropractic & Sports rehab clinic","Panchasheel enclave road no 1, HT Rd, Secunderabad, Telangana 500067","","088859 37736","80","4.8","Physiotherapy Center"," · Opens 9am","Physiotherapy","Macha Bolarum","500067","https://www.google.com/maps/search/?api=1&query=Sneha+Tiwari+Sportsphysio+%E2%80%94+Momentum+chiropractic+%26+Sports+rehab+clinic+Panchasheel+enclave+road+no+1%2C+HT+Rd%2C+Secunderabad%2C+Telangana+500067","Physiotherapy"
"SARAN PHYSIOTHERAPY CLINIC","Saran Physiotherapy Clinic, beside Ushodaya super market, near Bolarum Railway Crossing Road, New Bolarum, Railway Employees Colony, Bolarum, Secunderabad, Telangana 500010","","090301 67576","27","4.9","Physiotherapist"," · Opens 10am","Physiotherapy","Macha Bolarum","500010","https://www.google.com/maps/search/?api=1&query=SARAN+PHYSIOTHERAPY+CLINIC+Saran+Physiotherapy+Clinic%2C+beside+Ushodaya+super+market%2C+near+Bolarum+Railway+Crossing+Road%2C+New+Bolarum%2C+Railway+Employees+Colony%2C+Bolarum%2C+Secunderabad%2C+Telangana+500010","Physiotherapy"
"Sarmas Physiotherapy & Rehabilitation center in Kompally","2nd floor, Om Shivam Complex, beside New bajaj Electronics, Petbasheerabad, Bashirabad, Kompally, Hyderabad, Secunderabad, Telangana 500067","sarmasphysioandrehab.com","099855 37379","124","4.9","Physiotherapist"," · Opens 9am","Physiotherapy","Macha Bolarum","500067","https://www.google.com/maps/search/?api=1&query=Sarmas+Physiotherapy+%26+Rehabilitation+center+in+Kompally+2nd+floor%2C+Om+Shivam+Complex%2C+beside+New+bajaj+Electronics%2C+Petbasheerabad%2C+Bashirabad%2C+Kompally%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500067","Physiotherapy"
"The Healing Touch Clinic And Day Care Physiotherapy Center is now ZOE CLINICs","Brindavan shopping complex, 3-4-10/102G, Bolarum to Kompally Rd, below Brindavan function hall, near Brindavan enclave, New Bolarum, Railway Employees Colony Phase I, Railway Employees Colony, Bolarum, Hyderabad, Secunderabad, Telangana 500010","","078159 57257","14","5","Medical Center","Closed · Opens 9am","Physiotherapy","Macha Bolarum","500010","https://www.google.com/maps/search/?api=1&query=The+Healing+Touch+Clinic+And+Day+Care+Physiotherapy+Center+is+now+ZOE+CLINICs+Brindavan+shopping+complex%2C+3-4-10%2F102G%2C+Bolarum+to+Kompally+Rd%2C+below+Brindavan+function+hall%2C+near+Brindavan+enclave%2C+New+Bolarum%2C+Railway+Employees+Colony+Phase+I%2C+Railway+Employees+Colony%2C+Bolarum%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500010","Physiotherapy"
"Nayam Physio & Chiro Clinic","64a, NCL Colony Rd, Petbasheerabad, Caton Residential Twp, Jeedimetla, Hyderabad, Secunderabad, Telangana 500067","","076610 08680","26","5","Physiotherapist"," · Opens 10am","Physiotherapy","Macha Bolarum","500067","https://www.google.com/maps/search/?api=1&query=Nayam+Physio+%26+Chiro+Clinic+64a%2C+NCL+Colony+Rd%2C+Petbasheerabad%2C+Caton+Residential+Twp%2C+Jeedimetla%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500067","Physiotherapy"
